component_id,mean,sum,count,min,max
122,66.524239,68.000000,0.978298,0.961518,0.991924
123,17.593121,18.000000,0.977396,0.967766,0.987363
125,233.046219,238.000000,0.979186,0.961686,0.993326
126,15.707060,16.000000,0.981691,0.965912,0.992272
257,17.650881,18.000000,0.980604,0.963048,0.993004
258,48.833157,50.000000,0.976663,0.960073,0.990567
259,3.868790,4.000000,0.967197,0.967197,0.967197
260,7.782094,8.000000,0.972762,0.970654,0.974870
261,132.946289,136.000000,0.977546,0.964091,0.994721
262,23.675718,24.000000,0.986488,0.964276,0.993745
263,39.039169,40.000000,0.975979,0.962713,0.994401
264,19.665844,20.000000,0.983292,0.971562,0.993618
266,15.698032,16.000000,0.981127,0.967523,0.993163
268,93.784950,96.000000,0.976927,0.963248,0.988190
269,11.726603,12.000000,0.977217,0.968470,0.992625
270,119.318039,122.000000,0.978017,0.964613,0.991702
271,19.726015,20.000000,0.986301,0.972341,0.993690
274,98.091835,100.000000,0.980918,0.961870,0.989938
275,97.867729,100.000000,0.978677,0.961783,0.993865
276,60.642273,62.000000,0.978101,0.960835,0.993188
277,13.613905,14.000000,0.972422,0.960075,0.979664
278,3.977782,4.000000,0.994445,0.994445,0.994445
280,11.775644,12.000000,0.981304,0.967979,0.988849
282,3.920000,4.000000,0.980000,0.980000,0.980000
283,111.520164,114.000000,0.978247,0.962576,0.991698
284,17.570387,18.000000,0.976133,0.965228,0.990389
285,68.232574,70.000000,0.974751,0.960154,0.992395
288,27.219238,28.000000,0.972116,0.960565,0.986717
289,56.740253,58.000000,0.978280,0.960618,0.992318
292,39.045109,40.000000,0.976128,0.965251,0.991665
293,35.240948,36.000000,0.978915,0.960767,0.991013
294,25.355162,26.000000,0.975199,0.963594,0.987815
296,54.903412,56.000000,0.980418,0.968852,0.994606
297,97.722626,100.000000,0.977226,0.964715,0.992455
299,3.932857,4.000000,0.983214,0.983214,0.983214
300,52.617691,54.000000,0.974402,0.962527,0.988427
301,21.505548,22.000000,0.977525,0.960242,0.989058
302,3.928277,4.000000,0.982069,0.982069,0.982069
303,13.726585,14.000000,0.980470,0.972714,0.993428
304,15.578016,16.000000,0.973626,0.962872,0.991113
305,577.007751,584.000000,0.988027,0.972784,0.997872
306,11.895594,12.000000,0.991299,0.987694,0.994455
