index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
3385,640,480,256,277.4028,93.9708,0.0000,255.0000,63.4917,26516,1.0000
3386,640,480,256,225.8788,102.1472,0.0000,255.0000,68.3385,29004,1.0000
3387,640,480,221,224.6567,75.3395,0.0000,220.0000,50.9339,23054,1.0000
3388,640,480,256,377.2820,85.2441,0.0000,255.0000,66.8586,26590,1.0000
3389,640,480,230,566.5724,74.2049,0.0000,229.0000,52.4565,31495,1.0000
3390,640,480,256,218.0006,102.5563,0.0000,255.0000,68.3805,28768,1.0000
3391,640,480,223,213.3244,75.6573,0.0000,233.0000,50.9824,22890,1.0000
3392,640,480,226,190.4299,76.7599,0.0000,231.0000,50.2619,23053,1.0000
3393,640,480,256,277.4270,94.1526,0.0000,255.0000,62.9360,27343,1.0000
3394,640,480,224,228.6426,75.4926,0.0000,226.0000,50.4756,23768,1.0000
3395,640,480,256,245.3823,98.3626,0.0000,255.0000,69.1634,29755,1.0000
3396,640,480,256,292.4098,89.6703,0.0000,255.0000,64.3633,26994,1.0000
3397,640,480,256,251.1410,97.6353,0.0000,255.0000,69.3779,29765,1.0000
3398,640,480,256,224.3033,88.6171,0.0000,255.0000,71.7971,28172,1.0000
3399,640,480,226,205.9021,65.1792,0.0000,226.0000,53.3189,22012,1.0000
3400,640,480,225,288.6645,68.3698,0.0000,224.0000,53.5790,23048,1.0000
3401,640,480,256,200.6400,86.7599,0.0000,255.0000,72.1373,27781,1.0000
3402,640,480,228,184.1190,63.7263,0.0000,232.0000,53.4532,21564,1.0000
3403,640,480,225,213.5181,63.7910,0.0000,234.0000,56.4436,21922,1.0000
3404,640,480,256,327.4237,76.7306,0.0000,255.0000,70.7280,24980,1.0000
3405,640,480,226,232.1803,61.4209,0.0000,234.0000,56.5934,21621,1.0000
3406,640,480,256,187.1237,83.7687,0.0000,255.0000,78.1121,26070,1.0000
3407,640,480,256,766.1772,93.3503,0.0000,255.0000,66.9766,36813,1.0000
3408,640,480,256,480.1994,103.0715,0.0000,255.0000,72.9268,38791,1.0000
3409,640,480,256,241.8005,85.5775,0.0000,255.0000,77.6931,26245,1.0000
3410,640,480,226,277.0080,62.3273,0.0000,229.0000,57.4783,22403,1.0000
3411,640,480,256,246.4549,96.4388,0.0000,255.0000,76.8622,27377,1.0000
3412,640,480,256,328.6216,77.0988,0.0000,255.0000,87.4162,28939,1.0000
3413,640,480,256,185.2583,97.0450,0.0000,255.0000,73.2848,27919,1.0000
3414,640,480,227,180.2011,71.1514,0.0000,229.0000,54.4781,22492,1.0000
3415,640,480,256,275.9857,90.4330,0.0000,255.0000,66.0886,27728,1.0000
3416,640,480,256,288.5295,90.8100,0.0000,255.0000,64.6493,27956,1.0000
3417,640,480,225,220.5432,72.7505,0.0000,227.0000,51.8001,24226,1.0000
3418,640,480,228,280.2214,66.1771,0.0000,229.0000,54.1482,22697,1.0000
3419,640,480,256,286.3194,92.8717,0.0000,255.0000,63.9779,28204,1.0000
3420,640,480,256,225.9908,101.9259,0.0000,255.0000,69.4925,30731,1.0000
3421,640,480,256,229.6620,103.4460,0.0000,255.0000,68.8949,30878,1.0000
3422,640,480,256,292.4055,95.3191,0.0000,255.0000,63.1997,28616,1.0000
3423,640,480,256,228.0971,104.5339,0.0000,255.0000,68.5786,30919,1.0000
3424,640,480,256,290.6449,96.9100,0.0000,255.0000,62.6615,28359,1.0000
3425,640,480,256,320.3921,79.1404,0.0000,255.0000,68.5040,24780,1.0000
3426,640,480,222,223.5891,77.6311,0.0000,222.0000,50.2185,24560,1.0000
3427,640,480,256,306.3525,88.6642,0.0000,255.0000,87.6247,31452,1.0000
3428,640,480,256,724.6409,90.3958,0.0000,255.0000,67.5497,35797,1.0000
3429,640,480,256,444.2280,99.7744,0.0000,255.0000,73.4756,37843,1.0000
3430,640,480,256,225.3070,97.4876,0.0000,255.0000,62.6390,26608,1.0000
3431,640,480,256,231.3924,96.1286,0.0000,255.0000,62.2547,26788,1.0000
3432,640,480,256,202.6638,104.5702,0.0000,255.0000,67.1451,29419,1.0000
3433,640,480,225,192.6590,77.1040,0.0000,227.0000,49.9242,23142,1.0000
3434,640,480,256,374.0224,94.1194,0.0000,255.0000,62.1429,29526,1.0000
3435,640,480,256,299.3138,102.4284,0.0000,255.0000,67.0038,32440,1.0000
3436,640,480,229,304.8788,75.4966,0.0000,230.0000,49.8249,25466,1.0000
3437,640,480,229,249.4910,63.5243,0.0000,233.0000,54.8719,21464,1.0000
3438,640,480,256,337.3755,92.9650,0.0000,255.0000,62.5159,28893,1.0000
3439,640,480,256,278.4725,98.7305,0.0000,255.0000,68.1338,32071,1.0000
3440,640,480,226,289.0269,72.6918,0.0000,230.0000,50.7053,25053,1.0000
3441,640,480,256,333.5237,86.5630,0.0000,255.0000,64.4451,28518,1.0000
3442,640,480,228,276.6217,69.4200,0.0000,231.0000,51.6926,24613,1.0000
3443,640,480,256,308.5899,78.9919,0.0000,255.0000,69.4735,24751,1.0000
3444,640,480,227,264.0800,66.3553,0.0000,227.0000,52.3681,23730,1.0000
3445,640,480,256,625.5223,82.4096,0.0000,255.0000,80.4587,31794,1.0000
3446,640,480,234,500.8776,66.0050,0.0000,237.0000,64.5080,27760,1.0000
3447,640,480,256,639.2633,82.2311,0.0000,255.0000,78.1202,31890,1.0000
3448,640,480,256,728.2310,90.3749,0.0000,255.0000,67.4073,35773,1.0000
3449,640,480,235,565.8768,72.3748,0.0000,241.0000,54.0091,31312,1.0000
3450,640,480,256,698.8021,90.9233,0.0000,255.0000,76.0431,34962,1.0000
3451,640,480,256,430.9484,100.1610,0.0000,255.0000,82.0663,35513,1.0000
3452,640,480,231,528.8668,75.4724,0.0000,231.0000,60.4664,31100,1.0000
3453,640,480,256,716.9823,96.7552,0.0000,255.0000,74.8919,35891,1.0000
3454,640,480,256,437.6252,106.5909,0.0000,255.0000,80.7893,35802,1.0000
3455,640,480,232,542.2083,77.4603,0.0000,234.0000,59.9970,31326,1.0000
3456,640,480,256,750.0159,104.1233,0.0000,255.0000,71.9415,37256,1.0000
3457,640,480,256,440.6617,114.7834,0.0000,255.0000,77.5051,36610,1.0000
3458,640,480,233,569.4240,83.3811,0.0000,240.0000,57.6010,32516,1.0000
3459,640,480,256,479.7968,113.4767,0.0000,255.0000,76.1935,37218,1.0000
3460,640,480,256,295.3035,79.0995,0.0000,255.0000,69.5780,24228,1.0000
3461,640,480,256,449.4235,114.2364,0.0000,255.0000,75.9455,36578,1.0000
3462,640,480,231,550.2870,82.7206,0.0000,235.0000,56.1822,32189,1.0000
3463,640,480,256,482.8773,109.4031,0.0000,255.0000,75.4111,36697,1.0000
3464,640,480,230,536.8757,78.6879,0.0000,230.0000,55.1079,31452,1.0000
3465,640,480,231,544.7546,79.0889,0.0000,235.0000,54.9918,31236,1.0000
3466,640,480,256,433.6489,97.2495,0.0000,255.0000,73.4655,37628,1.0000
3467,640,480,233,540.9929,70.6342,0.0000,234.0000,54.1405,30892,1.0000
3468,640,480,256,716.9435,99.7153,0.0000,255.0000,68.3166,35507,1.0000
3469,640,480,256,428.6793,109.7242,0.0000,255.0000,74.5000,35436,1.0000
3470,640,480,227,488.2716,79.0580,0.0000,235.0000,54.5908,30449,1.0000
3471,640,480,256,727.9644,98.9021,0.0000,255.0000,67.6006,35954,1.0000
3472,640,480,256,450.6750,109.9406,0.0000,255.0000,73.9652,36782,1.0000
3473,640,480,228,238.6843,63.4735,0.0000,228.0000,55.7949,21043,1.0000
