__id,component_id,sum,count,mean_distance,min_distance,max_distance
281,38,46.9907,48.0000,0.9790,0.9666,0.9937
282,38,46.9907,48.0000,0.9790,0.9666,0.9937
283,38,46.9907,48.0000,0.9790,0.9666,0.9937
284,38,46.9907,48.0000,0.9790,0.9666,0.9937
285,38,46.9907,48.0000,0.9790,0.9666,0.9937
286,38,46.9907,48.0000,0.9790,0.9666,0.9937
287,38,46.9907,48.0000,0.9790,0.9666,0.9937
288,40,23.4281,24.0000,0.9762,0.9635,0.9909
289,3,94.2310,96.0000,0.9816,0.9709,0.9940
290,36,119.4491,122.0000,0.9791,0.9625,0.9946
291,36,119.4491,122.0000,0.9791,0.9625,0.9946
292,36,119.4491,122.0000,0.9791,0.9625,0.9946
293,36,119.4491,122.0000,0.9791,0.9625,0.9946
294,36,119.4491,122.0000,0.9791,0.9625,0.9946
295,36,119.4491,122.0000,0.9791,0.9625,0.9946
296,36,119.4491,122.0000,0.9791,0.9625,0.9946
297,36,119.4491,122.0000,0.9791,0.9625,0.9946
298,36,119.4491,122.0000,0.9791,0.9625,0.9946
299,26,102.2177,104.0000,0.9829,0.9632,0.9939
300,36,119.4491,122.0000,0.9791,0.9625,0.9946
301,36,119.4491,122.0000,0.9791,0.9625,0.9946
302,36,119.4491,122.0000,0.9791,0.9625,0.9946
303,36,119.4491,122.0000,0.9791,0.9625,0.9946
304,3,94.2310,96.0000,0.9816,0.9709,0.9940
305,3,94.2310,96.0000,0.9816,0.9709,0.9940
306,38,46.9907,48.0000,0.9790,0.9666,0.9937
307,41,58.8051,60.0000,0.9801,0.9705,0.9917
308,41,58.8051,60.0000,0.9801,0.9705,0.9917
309,26,102.2177,104.0000,0.9829,0.9632,0.9939
310,41,58.8051,60.0000,0.9801,0.9705,0.9917
311,41,58.8051,60.0000,0.9801,0.9705,0.9917
312,41,58.8051,60.0000,0.9801,0.9705,0.9917
313,42,60.6626,62.0000,0.9784,0.9611,0.9932
314,42,60.6626,62.0000,0.9784,0.9611,0.9932
315,42,60.6626,62.0000,0.9784,0.9611,0.9932
316,42,60.6626,62.0000,0.9784,0.9611,0.9932
317,16,108.0535,110.0000,0.9823,0.9609,0.9944
318,42,60.6626,62.0000,0.9784,0.9611,0.9932
319,42,60.6626,62.0000,0.9784,0.9611,0.9932
320,26,102.2177,104.0000,0.9829,0.9632,0.9939
321,42,60.6626,62.0000,0.9784,0.9611,0.9932
322,41,58.8051,60.0000,0.9801,0.9705,0.9917
323,41,58.8051,60.0000,0.9801,0.9705,0.9917
324,41,58.8051,60.0000,0.9801,0.9705,0.9917
325,41,58.8051,60.0000,0.9801,0.9705,0.9917
326,17,58.8723,60.0000,0.9812,0.9631,0.9950
327,41,58.8051,60.0000,0.9801,0.9705,0.9917
328,41,58.8051,60.0000,0.9801,0.9705,0.9917
329,16,108.0535,110.0000,0.9823,0.9609,0.9944
330,41,58.8051,60.0000,0.9801,0.9705,0.9917
331,41,58.8051,60.0000,0.9801,0.9705,0.9917
332,41,58.8051,60.0000,0.9801,0.9705,0.9917
333,41,58.8051,60.0000,0.9801,0.9705,0.9917
334,42,60.6626,62.0000,0.9784,0.9611,0.9932
335,42,60.6626,62.0000,0.9784,0.9611,0.9932
336,17,58.8723,60.0000,0.9812,0.9631,0.9950
337,42,60.6626,62.0000,0.9784,0.9611,0.9932
338,42,60.6626,62.0000,0.9784,0.9611,0.9932
